TagName;TagZahl;Monat;Titel;Personen;Ort;Land;EventHash;TimeAppoint;TimeSeen;TimeDeleted
Tue;14;Jan;Meets with Mr Philippe Lamberts, MEP;Valdis Dombrovskis;Strasbourg;France;480d3a861cf766a8327d68b2a8d13a3d155d83c6;2020-01-14;1578956400;NA
Tue;14;Jan;Maroš Šefčovič participates in the Conference of the Committee Chairs (CCC) on the Commission Work Programme.;Maroš Šefčovič;Strasbourg;France;d6da87c71ba82ec50e417b76002c3621b9b85957;2020-01-14;1578956400;NA
Wed;15;Jan;Commissioner Kyriakides meets with Mr Martin Hojsík Member of Committee on the Environment, Public Health and Food Safety of the European Parliament.;Stella Kyriakides;Strasbourg;France;787a26a45c3cdfb005b6d8c47800ab09c1d3cce5;2020-01-15;1579042800;NA
Wed;15;Jan;Commissioner Kyriakides meets with Ms Maria Walsh, Member of the Committee on Employment and Social Affairs;Stella Kyriakides;Strasbourg;France;e6a2e6f5893963102a203c16196c82377da08f11;2020-01-15;1579042800;NA
Wed;15;Jan;Holds a joint press statement with Mr Leo Varadkar, Taoiseach of Ireland;Ursula von der Leyen;Dublin;Ireland;7ad3be4e5a612df8d7fdc314b790114690682185;2020-01-15;1579042800;NA
Wed;15;Jan;Meets Mr Leo Varadkar, Taoiseach of Ireland;Ursula von der Leyen;Dublin;Ireland;785af6162e1cd4c18de380c6e8719d3b30dd09cc;2020-01-15;1579042800;NA
Wed;15;Jan;Participates in a dinner hosted by Mr Leo Varadkar, Taoiseach of Ireland;Ursula von der Leyen;Dublin;Ireland;5d162e6e8d5dc3c85c60386c1deeb2d477f72e21;2020-01-15;1579042800;NA
Wed;15;Jan;Meets with Mr Luis Garicano, MEP;Valdis Dombrovskis;Strasbourg;France;cd0dc4c1c347bef5409a0ab6003c03070b2fa0a5;2020-01-15;1579042800;NA
Wed;15;Jan;Meets with Mr Sven Giegold and Mr Ville Niinistö, MEPs;Valdis Dombrovskis;Strasbourg;France;77f2c4469cc7a6c6b0a5cad6ce1694ae8da7538e;2020-01-15;1579042800;NA
Wed;15;Jan;Maroš Šefčovič meets Ms Emily O'Reilly, the re-elected European Ombudsman in Strasbourg.;Maroš Šefčovič;NA;NA;9a630b28527df3f9c72918c963a46e729f2f084d;2020-01-15;1579042800;NA
Wed;15;Jan;Commissioner Olivér Várhelyi Mr Olivér Várhelyi in Skopje, North Macedonia: meets with Mr Stevo Pendarovski, President of North Macedonia, meets with Mr Oliver Spasovski, Prime Minister of North Macedonia;Olivér Várhelyi;NA;NA;9a8f0dd046010b7e79f6f461f596210038f0029a;2020-01-15;1579042800;NA
Wed;15;Jan;Commissioner Olivér Várhelyi Mr Olivér Várhelyi in Skopje, North Macedonia: meets with Mr Talat Xhaferi, President of the Assembly of the Republic of North Macedonia; and meets with representatives of the opposition;Olivér Várhelyi;NA;NA;4479be18425833b89137c2d93ceb205963dfe5e4;2020-01-15;1579042800;NA
Thu;16;Jan;Commissioner Simson receives Mr Stefan Kamphues, President of ENTSOG ;Kadri Simson;Brussels;Belgium;88c06ae9880ded9de8b9a1a8625a524b43f3b325;2020-01-16;1579129200;NA
Tue;14;Jan;Meets His Majesty the King of Jordan;Ursula von der Leyen;Strasbourg;France;eb7a1ec4f3bf5ba4498373705075935d62733f00;2020-01-14;1578956400;NA
Tue;14;Jan;Meets Mr David Sassoli, President of the European Parliament;Ursula von der Leyen;Strasbourg;France;cfecc7ae27ddea6ab6bc26654568682c674c201f;2020-01-14;1578956400;NA
Mon;20;Jan;Delivers an opening speech at the World Economic Forum (WEF);Ursula von der Leyen;Davos;Switzerland;6ea4dbf39d89c442c88dec06a973ce207f004c28;2020-01-20;1579474800;NA
Mon;20;Jan;Meets Ms Simonetta Sommaruga, President of the Swiss Confederation;Ursula von der Leyen;Davos;Switzerland;2cf2592f89346a2ce3043e36b0d1103e3c8fb1eb;2020-01-20;1579474800;NA
Mon;20;Jan;HR/VP Josep Borrell Fontelles receives Mr Antonio Rivas Palacios, Minister of Foreign Affairs of the Republic of Paraguay;Josep Borrell Fontelles;NA;NA;35872a68e32d93d0a92bdb69337786960d52b0aa;2020-01-20;1579474800;NA
Mon;20;Jan;HR/VP Josep Borrell Fontelles receives Mr Mukhtar Tleuberdi, Minister of Foreign Affairs of the Republic of Kazakhstan;Josep Borrell Fontelles;NA;NA;675dbf733b245e0f6d4bfb1f4693e939ad7b30c3;2020-01-20;1579474800;NA
Mon;20;Jan;Maroš Šefčovič receives M. Tomáš Petříček, Minister for Foreign Affairs of the Czech Republic.;Maroš Šefčovič;NA;NA;702ebaf7cec1cc50d75c7d538721fd3d67f6d3bf;2020-01-20;1579474800;NA
Mon;20;Jan;Maroš Šefčovič receives Ms Karoline Edtstadler, Federal Minister in the Federal Chancellery of Austria.;Maroš Šefčovič;NA;NA;80ef9c31dfd05e58ff3d22d056f840a41c87aae9;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Kyriakides receives representatives of the Association of European Cancer Leagues (ECL);Stella Kyriakides;NA;NA;ed212d4a3e17a1da84dbdd852afb78e0239e134f;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Kyriakides receives representatives of the European Cancer Patient Coalition (ECPC);Stella Kyriakides;NA;NA;a3c1554556b9b528157a275bd9e243d06143643f;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Kyriakides receives representatives of the European Oncology Nursing Society (EONS);Stella Kyriakides;NA;NA;fade61742bd199f532cc1bed452c0616c14fccce;2020-01-20;1579474800;NA
